time,id,type,link,lane,x,y,angle,speed.mph,pos,accel.fpss
4.70,1_4_0_1,5018,5677903#1,1,5227.9857316,15414.140913199999,158.58,18.052105800000003,112.79527920000001,-4.92126
4.70,24_31_0_0,1509,23334065#2,0,9106.5291628,8798.39267,284.38,12.9966214,51.3779544,3.9698164
4.70,27_3_0_11,4518,5681969#1,0,7869.09474,8962.270628,116.67,4.451510600000001,17.716536,9.2191604
4.70,31_5_0_7,4518,-222258277#5,0,9224.9674868,7661.58161,330.79,10.5807262,29.199476,8.8254596
4.70,4_1_0_2,5018,41381890#0.0,1,5514.9936148,14385.2694892,90.84,19.4390086,83.3989528,-4.92126
4.70,4_5_0_6,8025,41381890#0.0,1,5466.6340332,14385.9584656,90.84,8.1424616,35.0393712,8.6614176
4.70,7_add_0_4,4518,107391104#10,0,7361.975301199999,13026.903304,272.29,16.844158200000003,49.9015764,8.595800800000001
4.70,B38_0_1,1509,-46121861#1,0,5684.3177672,13011.778631599998,117.04,9.059607,58.562994,2.952756
4.70,B54_0_1,1509,221605483#0,0,4636.155003999999,15241.9952384,92.15,0.6039738000000001,26.738846000000002,2.8871392
4.70,B62_0_1,1509,221605483#0,0,4667.81511,15240.814135999999,92.15,9.037237600000001,58.4645688,2.7230971999999998
4.70,add_2_0_5,1509,5676999#0,0,5641.3715716,14826.9033616,272.45,7.5608572,20.8005256,4.10105
4.80,11_29_0_3,4518,46121854,0,6087.4673864,12805.2497536,116.93,17.4033932,52.2965896,9.120735199999999
4.80,14_5_0_9,4518,-222251427#2,0,8623.819173599999,10543.930783599999,284.77,5.077853800000001,18.4711292,9.02231
4.80,1_4_0_1,5018,5677903#1,1,5228.9371752,15411.7459,158.58,17.7165648,115.3871428,-4.92126
4.80,24_31_0_0,1509,23334065#2,0,9104.6262756,8798.884796,284.38,13.2650542,53.3464584,3.8385827999999997
4.80,27_3_0_11,4518,5681969#1,0,7869.7837164,8961.942544,116.67,5.0554844,18.4711292,9.0879268
4.80,31_5_0_7,4518,-222258277#5,0,9224.180085200001,7663.0251796,330.79,11.184700000000001,30.839896,8.595800800000001
4.80,4_1_0_2,5018,41381890#0.0,1,5517.7823288,14385.2038724,90.84,19.1034676,86.1876668,-4.92126
4.80,4_5_0_6,8025,41381890#0.0,1,5467.9135608,14385.9584656,90.84,8.7688048,36.3188988,9.0879268
4.80,7_add_0_4,4518,107391104#10,0,7359.416246000001,13027.001729200001,272.29,17.448132,52.4606316,8.7598428
4.80,B38_0_1,1509,-46121861#1,0,5685.531678,13011.155272,117.04,9.2609316,59.9409468,2.8543308
4.80,B54_0_1,1509,221605483#0,0,4636.2534292,15241.9952384,92.15,0.8052984,26.870079599999997,2.952756
4.80,B62_0_1,1509,221605483#0,0,4669.160254400001,15240.781327600002,92.15,9.2385622,59.809713200000004,2.7559055999999997
4.80,add_2_0_5,1509,5676999#0,0,5640.2232776,14826.9689784,272.45,7.82929,21.981628,4.10105
4.90,11_29_0_3,4518,46121854,0,6089.8295912,12804.0686512,116.93,18.0297364,54.95407,9.2191604
4.90,14_5_0_9,4518,-222251427#2,0,8623.031772,10544.127634,284.77,5.704197,19.3241476,9.186352
4.90,1_4_0_1,5018,5677903#1,1,5229.8886188,15409.3508868,158.58,17.3810238,117.94619800000001,-4.8884516
